en,ru,level,source
abandon,покидать,B2,User-provided list: b2-user.md
absolute,абсолютный,B2,User-provided list: b2-user.md
absorb,поглощать,B2,User-provided list: b2-user.md
abstract,абстрактный,B2,User-provided list: b2-user.md
academic,академический,B2,User-provided list: b2-user.md
accelerate,ускорять,B2,User-provided list: b2-user.md
access,доступ,B2,User-provided list: b2-user.md
accommodate,размещать,B2,User-provided list: b2-user.md
accomplish,"выполнять, достигать, выполнить",B2,User-provided list: b2-user.md
accurate,точный,B2,User-provided list: b2-user.md
acknowledge,признавать,B2,User-provided list: b2-user.md
acquire,приобретать,B2,User-provided list: b2-user.md
adapt,адаптироваться,B2,User-provided list: b2-user.md
adequate,достаточный,B2,User-provided list: b2-user.md
adjust,приспосабливать,B2,User-provided list: b2-user.md
administration,администрация,B2,User-provided list: b2-user.md
adopt,"принимать, усыновлять",B2,User-provided list: b2-user.md
advocate,выступать за,B2,User-provided list: b2-user.md
allocate,распределять,B2,User-provided list: b2-user.md
alter,изменять,B2,User-provided list: b2-user.md
alternative,альтернатива,B2,User-provided list: b2-user.md
ambitious,амбициозный,B2,User-provided list: b2-user.md
amend,исправлять,B2,User-provided list: b2-user.md
analyse,анализировать,B2,User-provided list: b2-user.md
annual,ежегодный,B2,User-provided list: b2-user.md
anticipate,предвидеть,B2,User-provided list: b2-user.md
apparent,очевидный,B2,User-provided list: b2-user.md
appeal,"призыв, привлекательность",B2,User-provided list: b2-user.md
approach,подход,B2,User-provided list: b2-user.md
appropriate,подходящий,B2,User-provided list: b2-user.md
arise,возникать,B2,User-provided list: b2-user.md
aspect,аспект,B2,User-provided list: b2-user.md
assess,оценивать,B2,User-provided list: b2-user.md
assign,назначать,B2,User-provided list: b2-user.md
assist,помогать,B2,User-provided list: b2-user.md
assume,предполагать,B2,User-provided list: b2-user.md
assure,заверять,B2,User-provided list: b2-user.md
attach,прикреплять,B2,User-provided list: b2-user.md
attain,достигать,B2,User-provided list: b2-user.md
attitude,отношение,B2,User-provided list: b2-user.md
attribute,"приписывать, характеристика",B2,User-provided list: b2-user.md
aware,осведомлённый,B2,User-provided list: b2-user.md
behalf,от имени,B2,User-provided list: b2-user.md
bias,предвзятость,B2,User-provided list: b2-user.md
brief,краткий,B2,User-provided list: b2-user.md
capable,способный,B2,User-provided list: b2-user.md
capacity,"способность, вместимость",B2,User-provided list: b2-user.md
cease,прекращать,B2,User-provided list: b2-user.md
challenge,"трудность, вызов",B2,User-provided list: b2-user.md
circumstance,обстоятельство,B2,User-provided list: b2-user.md
clarify,прояснять,B2,User-provided list: b2-user.md
coherent,связный,B2,User-provided list: b2-user.md
coincide,совпадать,B2,User-provided list: b2-user.md
collapse,разрушаться,B2,User-provided list: b2-user.md
colleague,коллега,B2,User-provided list: b2-user.md
commence,начинать,B2,User-provided list: b2-user.md
compensate,компенсировать,B2,User-provided list: b2-user.md
comprehensive,исчерпывающий,B2,User-provided list: b2-user.md
comprise,включать в себя,B2,User-provided list: b2-user.md
conceive,"представлять, задумать",B2,User-provided list: b2-user.md
concurrent,одновременный,B2,User-provided list: b2-user.md
conduct,"проводить, поведение",B2,User-provided list: b2-user.md
considerable,значительный,B2,User-provided list: b2-user.md
consistent,последовательный,B2,User-provided list: b2-user.md
constitute,составлять,B2,User-provided list: b2-user.md
constrain,ограничивать,B2,User-provided list: b2-user.md
consult,консультироваться,B2,User-provided list: b2-user.md
consume,потреблять,B2,User-provided list: b2-user.md
